Airdance	Rodney Miller	Mary Cay Brass	Dave Surette	Stewart Kenny	Sam Zucchini		
Alchemy	Rachel Bell	Karen Axelrod	Eric Martin				
Anadama	Bethany Waickman	Emily Troll	Amelia Mason				
Audacious	Larry Unger	Audrey Knuth					
Big Bandemonium	Kate Barnes	Brian Bender	Lise Brown	Corey DiMario	Van Kaynor	Dave Langford	Adam Scott
Black River Ironworks	Jonah Sidman	Corey Walters	Michael Friedman				
Buddy System	Julie Vallimont	Noah VanNorstrand					
Calico	Eric Boodman	Jesse Ball	Casey Murray				
Cloud Ten	Cedar Stanistreet	Ness Smith-Savedoff	Donal Sheets	Arthur Davis			
Contra Sutra	Dave Bartley	Ryan McKasson	Marni Rachmiel				
Contraforce	Andreae Raffield	Joey Dorwart	Jimi Peirano	Karin McQuade			
Contrail	Laurie Tupper	Chris Jacoby	Jeff Kaufman				
Coracree	Jane Rothfield	Billl Quern	Sarah Gowan	Allan Carr			
Countercurrent	Brian Lindsay	Alex Sturbaum					
Crowfoot	Nicholas Williams	Jaige Trudel	Adam Broome				
Drive Train	Ed Howe	Bennett Konesni					
Elixir	Anna Patton	Ethan Hazzard-Watkins	Jesse Readlynn	Owen Morrison	Brian Bender	Nils Fredland	
Eloise &co.	Rachel Bell	Becky Tracy					
Force for Nature	Ashley Hoyer	Jeffrey Spero	Audrey Jaber				
Froghammer	Glyn Collinson	Andrew Marcus	Dave Casserly	Michael Ferguson	Bob Collins	Jim Besser	
Gallimaufry	Brian Lindsay	Alex Sturbaum	Donal Sheets	Arthur Davis	Ness Smith-Savedoff		
Genticorum	Pascal Gemme	Yann Falquet	Nicholas Williams				
Giant Robot Dance	Andrew VanNorstrand	Noah VanNorstrand	Andrew Marcus	Aaron Marcus	Michael Ferguson	Alex Ferguson	
Golden	Jesse Ball	Everest Witman					
Great Bear	Andrew VanNorstrand	Noah VanNorstrand	Kim Yerton	Chris Miller	Rebecca Bosworth-Clemens	Dana Billings	
Green Light Karma	David Knight	Andrew Marcus	Dave Weisler				
Hot Coffee Breakdown	Tom Cunningham	Kate Sanders	Luis de Leon				
KGB	Julie King	Claude Ginsburg	Dave Bartley				
Kingfisher	Cecilia Vacanti	Jeff Kaufman					
Last Exit	Laurie Tupper	Doug Healey	Ross Harris	Chris Jacoby			
Light Reaction	Kathleen Fownes	Jim Fownes					
Lighthouse	Audrey Jaber	Alex Cumming	Stewart Kenny				
Live Wire	Tom Krumm	Ben Kennedy	Bill Quern	Sarah Gowan			
Maivish	Matthew Olwell	Jaige Trudel	Adam Broome				
Nightingale	Becky Tracy	Jeremiah McLane	Keith Murphy				
Nor'easter	Julie Vallimont	Max Newman	Cedar Stanistreet				
Notorius	Larry Unger	Eden MacAdam-Somer	Sam Bartlett	Mark Hellenberg			
Nova	Kathleen Fownes	Everest Witman	Guillaume Sparrow-Pepin				
Perpetual e-Motion	Ed Howe	John Cote					
Pete's Posse	Pete Sutherland	Tristan Henderson	Oliver Scanlon				
Playing with Fyre	Rob Zisette	George Paul	Steve Kemble				
Polaris	Jesse Ball	Marta Bartholomew	Rose Jackson	Sam Zakon-Anderson			
Reckless Ramblers	Larry Unger	Nat Hewitt	Ginny Snowe	Sam Bartlett			
Red Case Band	Clara Stickney	Stewart Kenny	Alex Cumming				
Riptide	Alden Robinson	Glen Loper	Mark Hellenberg	Owen Marshall			
River Road	Sarah Hadley Yakir	Kristen Planeaux	Jesse Ball				
Root System	Ashley Hoyer	Audrey Jaber	Amy Englesberg				
SPIN	Dave Bartley	Anita Anderson	Rodney Miller				
Stomp Rocket	Bethany Waickman	Glen Loper	Dave Langford				
Stringrays	Stewart Kenny	Rodney Miller	Max Newman				
Stunt Double	Laurie Tupper	Julie Vallimont	Ross Harris	Chris Jacoby			
Supertrad	Sam Bartlett	Eric Schedler	Dave Langford	Owen Morrison			
Swallowtail	George Marshall	Ron Grosslein	Tim Van Egmond	Timm Triplett	David Cantieni		
Tea and Whiskey	Andreae Raffield	Karin McQuade					
The Avant Gardeners	Laura Light	Dan Sebring	George Paul				
The Clayfoot Strutters	Pete Sutherland	Jeremiah McLane	Lee Blackwell				
The Dam Beavers	Ben Schreiber	Scotty Leach	Ness Smith-Savedoff				
The Engine Room	Noah VanNorstrand	Kelsey Wells	Alex Sturbaum				
The Faux Paws	Andrew VanNorstrand	Noah VanNorstrand	Chris Miller				
The Figments	Anna Patton	Ethan Hazzard-Watkins	Owen Morrison				
The Free Raisins	Audrey Jaber	Amy Englesberg	Jeff Kaufman				
The Gaslight Tinkers	Peter Siegel	Garret Sawyer	Audrey Jaber	Joe Fitzpatrick			
The Gigmeisters	Alexander Mitchell	Paul Oorts	Ralph Gordon	Dave Weisler			
The Greenfield Dance Band	David Kaynor	Mary Cay Brass	Stewart Kenny	Peter Siegel			
The Intoxicators	Dave Bartley	Marni Rachmiel	Rodney Miller				
The Latter Day Lizards	Dave Langford	Bill Tomczak	Kate Barnes				
The Mean Lids	Miriam Larson	Matt Turino	Ben Smith				
The Moving Violations	Van Kaynor	Ron Grosslein	Eric Eid-Reiner				
The Synchopaths	Ryan McKasson	Ashley Hoyer	Jeffrey Spero	Christa Burch			
The Waxwings	Alex Sturbaum	Amy Englesberg	Jesse Partridge				
Tidal Wave	Stewart Kenny	Sabin Jacques	Eric Favreau	Rachel Aucoin			
Toss the Possum	Rob Zisette	Laura Zisette					
Turnip the Beet	Kelsey Wells	Jeremy Lekich					
Uncle Farmer	Ben Schreiber	Michael Sokolovsky					
Uncle Gizmo	Larry Unger	Sam Bartlett	Ginny Snowe	Amy Larkin			
Wake up Robin	Andrew VanNorstrand	Noah VanNorstrand	Audrey Jaber	Amy Englesberg			
Whirlwind	Jeff Kaufman	Alex Cumming	Steve Thomforde				
Wild Asparagus	Ann Percival	David Cantieni	Becky Tracy	George Marshall	Stewart Kenny		